domain,severity,reject_media,reject_reports,public_comment,obfuscate
pleroma.us,suspend,False,False,Hate speech,False
poa.st,suspend,False,False,Hate speech,False
poast.tv,suspend,False,False,Hate speech,False
pooper.social,suspend,False,False,Hate speech,False
poster.place,suspend,False,False,Hate speech,False
postin*.*******.rocks,suspend,False,False,Hate speech,False
pouque.net,suspend,False,False,Hate speech,False
rakket.app,suspend,False,False,Hate speech,False
rap*.*et,suspend,False,False,Inappropriate content,False
rapem***.*****ions,suspend,False,False,Inappropriate content,False
rapemeat.express,suspend,False,False,Inappropriate content,False
rdrama.cc,suspend,False,False,Hate speech,False
refusal.biz,suspend,False,False,Inappropriate content,False
repl.co,suspend,False,False,Spam,False
rot.***es,suspend,False,False,Inappropriate content,False
ryona.agency,suspend,False,False,Hate speech,False
schwartzwelt.xyz,suspend,False,False,Hate speech,False
seal.cafe,suspend,False,False,Hate speech,False
sexy****.xyz,suspend,False,False,Inappropriate content,False
shitpisscum.mooo.com,suspend,False,False,Hate speech,False
shitpost.cloud,suspend,False,False,Hate speech,False
shitposte.rs,suspend,False,False,Hate speech,False
shitposter.club,suspend,False,False,Hate speech,False
shitposter.world,silence,False,False,Harassment,False
shitposting.army,suspend,False,False,Hate speech,False
sho**.***se,suspend,False,False,Inappropriate content,False
shortstackran.ch,suspend,False,False,Hate speech,False
shortstacksran.ch,suspend,False,False,Hate speech,False
shot*****.xyz,suspend,False,False,Inappropriate content,False
shrimpcam.pw,suspend,False,False,Third-party bots,False
shrimpposter.club,suspend,False,False,Hate speech,False
sinblr.com,suspend,False,False,Automated porn spam,False
skinheads.social,suspend,False,False,Hate speech,False
skipp*******.com,suspend,False,False,Inappropriate content,False
sleepy.cafe,suspend,False,False,Hate speech,False
sneed.social,suspend,False,False,Hate speech,False
social.********y.net,suspend,False,False,Inappropriate content,False
social.lovingexpressions.net,suspend,False,False,Hate speech,False
social.quodverum.com,silence,False,False,Misinformation and conspiracy theories,False
solagg.com,suspend,False,False,Spam,False
sovran.social,suspend,False,False,Third-party bots,False
