domain,severity,reject_media,reject_reports,public_comment,obfuscate
shrimpposter.club,suspend,False,False,"harassment, hate-associated, hate-speech",False
skinheads.social,suspend,False,False,"hate-associated, hate-speech, nazism",False
skippers-bin.com,suspend,False,False,"inappropriate, underage",False
sneed.social,suspend,False,False,"anti-lgbtq, antisemitism, fascism, hate-speech, racism",False
spinster.xyz,suspend,False,False,anti-lgbtq,False
springbo.cc,suspend,False,False,"alt-right, anti-lgbtq, harassment, racism",False
stereophonic.space,suspend,False,False,"alt-right, harassment, hate-associated",False
strelizia.net,suspend,False,False,"hate-speech, underage",False
supernets.social,suspend,False,False,"alt-right, hate-speech, racism",False
tastingtraffic.net,suspend,False,False,"anti-lgbtq, spam",False
teci.world,suspend,False,False,"alt-right, hate-associated",False
theblab.org,suspend,False,False,"hate-speech, racism",False
truthsocial.co.in,suspend,False,False,alt-right,False
usualsuspects.lol,suspend,False,False,"anti-lgbtq, harassment, hate-speech",False
varishangout.net,suspend,False,False,"anti-lgbtq, hate-speech, inappropriate, racism",False
whinge.town,suspend,False,False,"anti-lgbtq, hate-associated, racism",False
whitewomen.dog,suspend,False,False,"hate-associated, hate-speech, inappropriate, racism, underage",False
wideboys.org,suspend,False,False,"anti-lgbtq, harassment, hate-associated, racism",False
wolfgirl.bar,suspend,False,False,"antisemitism, harassment, hate-speech, racism",False
yggdrasil.social,suspend,False,False,"anti-lgbtq, hate-speech",False
youjo.love,suspend,False,False,"antisemitism, antivax, inappropriate, underage",False
zztails.gay,suspend,False,False,"alt-right, hate-speech, racism",False
