domain,severity,reject_media,reject_reports,public_comment,obfuscate
twit.cryolog.in,suspend,False,False,BirdSiteLIVE/Bot,False
twitbridge.click,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.829.hu,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.cryobyte.net,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.dev.holtwick.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.doesnotexist.club,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.felixmueller.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.grants.cafe,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.kfem.cat,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.moxr.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.piriklub.eu,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.savvas.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.toots.ro,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.tresor.eyhoff.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.ukd.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitterbridge.mastodon.maki0419.com,suspend,False,False,BirdSiteLIVE/Bot,False
twitterfeed.furrypaws.cc,suspend,False,False,BirdSiteLIVE/Bot,False
twittergateway.10247.berlin,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.3q3.de,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.astra.lol,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.carnivore.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.ingeechat.party,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.plus,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.vrij.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtrbridge.de,suspend,False,False,BirdSiteLIVE/Bot,False
vtweet.live,suspend,False,False,BirdSiteLIVE/Bot,False
white.fly.dev,suspend,False,False,BirdSiteLIVE/Bot,False
woof.foxxo.gay,suspend,False,False,BirdSiteLIVE/Bot,False
zwezo.o-k-i.net,suspend,False,False,BirdSiteLIVE/Bot,False
t2m.davinkevin.fr,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.retiolus.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.opiumpost.org,suspend,False,False,BirdSiteLIVE/Bot,False
birdmakeup.opiumpost.org,suspend,False,False,BirdSiteLIVE/Bot,False
bird.neolyum.de,suspend,False,False,BirdSiteLIVE/Bot,False
b.booots.tech,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.toots.ro,suspend,False,False,BirdSiteLIVE/Bot,False
twit.cryolog.in,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.tresor.eyhoff.de,suspend,False,False,BirdSiteLIVE/Bot,False
bird.makeup.hwarf.com,suspend,False,False,BirdSiteLIVE/Bot,False
bridge.booots.tech,suspend,False,False,BirdSiteLIVE/Bot,False
mast.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.codingneko.com,suspend,False,False,BirdSiteLIVE/Bot,False
bird.xtra.nu,suspend,False,False,BirdSiteLIVE/Bot,False
white.fly.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.personally.tech,suspend,False,False,BirdSiteLIVE/Bot,False
cp2.jaxbeach.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.felixmueller.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.dfu.co,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.ingwie.me,suspend,False,False,BirdSiteLIVE/Bot,False
ll.birdsite.live,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.loca.lt,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.stop.pe,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.jemverse.xyz,suspend,False,False,BirdSiteLIVE/Bot,False
woof.foxxo.gay,suspend,False,False,BirdSiteLIVE/Bot,False
vtweet.live,suspend,False,False,BirdSiteLIVE/Bot,False
twtrbridge.de,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.ingeechat.party,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.carnivore.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.astra.lol,suspend,False,False,BirdSiteLIVE/Bot,False
twt.pufferzone.racing,suspend,False,False,BirdSiteLIVE/Bot,False
twittergateway.10247.berlin,suspend,False,False,BirdSiteLIVE/Bot,False
twitterfeed.furrypaws.cc,suspend,False,False,BirdSiteLIVE/Bot,False
twitterbridge.mastodon.maki0419.com,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.ukd.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.savvas.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.moxr.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.kfem.cat,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.dev.holtwick.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.cryobyte.net,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.829.hu,suspend,False,False,BirdSiteLIVE/Bot,False
twitbridge.click,suspend,False,False,BirdSiteLIVE/Bot,False
tweets.puddle.town,suspend,False,False,BirdSiteLIVE/Bot,False
tweetrans.ff15.eu,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.moistgarbage.info,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.spectreos.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gnyo.org,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.darkesttimeline.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.skye.cx,suspend,False,False,BirdSiteLIVE/Bot,False
