domain,severity,public_comment,reject_media,reject_reports,obfuscate
mstdn.foxfam.club,silence,,False,False,False
mstdn.jp,silence,,False,False,False
mstdn.starnix.network,suspend,,True,True,False
mugicha.club,suspend,,True,True,False
my.dirtyhobby.xyz,suspend,,True,True,False
nafo.uk,silence,,False,False,False
natehiggers.online,suspend,,True,True,False
nationaljustice.social,suspend,,True,True,False
nazi.social,suspend,,True,True,False
neckbeard.xyz,suspend,,True,True,False
neenster.org,suspend,,True,True,False
news.twtr.plus,suspend,,True,True,False
newsbots.eu,suspend,,True,True,False
nicecrew.digital,suspend,,True,True,False
nightshift.social,suspend,,True,True,False
nnia.space,suspend,,True,True,False
noagendasocial.com,suspend,,True,True,False
nobodyhasthe.biz,suspend,,True,True,False
normie.cafe,suspend,,True,True,False
notbird.site,suspend,,True,True,False
ns.auction,suspend,,True,True,False
oneway.masto.host,suspend,,True,True,False
ongardenroad.ca,suspend,,True,True,False
outerheaven.club,suspend,,True,True,False
outpoa.st,suspend,,True,True,False
patriot.online,suspend,,True,True,False
pawoo.net,suspend,,True,True,False
paypig.org,suspend,,True,True,False
pedo.school,suspend,,True,True,False
peertube.se,suspend,,True,True,False
pieville.net,suspend,,True,True,False
pirateradio.social,suspend,,True,True,False
pisskey.io,suspend,,True,True,False
pkteerium.xyz,suspend,,True,True,False
pl.anon-kenkai.com,suspend,,True,True,False
pl.kitsunemimi.club,suspend,,True,True,False
pl.slash.cl,suspend,,True,True,False
pl.smuglo.li,suspend,,True,True,False
pl.starnix.network,suspend,,True,True,False
pl.tkammer.de,suspend,,True,True,False
pl.valkyrie.world,suspend,,True,True,False
play.xmr.101010.pl,suspend,,True,True,False
pleroma.foxarmy.org,suspend,,True,True,False
pleroma.fun,suspend,,True,True,False
pleroma.karjalazet.se,suspend,,True,True,False
pleroma.kitsunemimi.club,suspend,,True,True,False
pleroma.kiwifarms.net,suspend,,True,True,False
pleroma.narrativerry.xyz,suspend,,True,True,False
pleroma.nobodyhasthe.biz,suspend,,True,True,False
pleroma.skyshanty.xyz,suspend,,True,True,False
pleroma.us,suspend,,True,True,False
poa.st,suspend,,True,True,False
poast.eth,suspend,,True,True,False
poast.org,suspend,,True,True,False
poast.tv,suspend,,True,True,False
pooper.social,suspend,,True,True,False
porntoot.com,suspend,,True,True,False
poster.place,suspend,,True,True,False
posting.lolicon.rocks,suspend,,True,True,False
poweredbycocaine.com,suspend,,True,True,False
psyopshop.com,suspend,,True,True,False
qoto.org,silence,,False,False,False
quanta.wiki,suspend,,True,True,False
quey.org,suspend,,True,True,False
rakket.app,suspend,,True,True,False
rapefeminists.network,suspend,,True,True,False
rapemeat.solutions,suspend,,True,True,False
raplst.town,suspend,,True,True,False
rawr-xd.club,suspend,,True,True,False
rayci.st,suspend,,True,True,False
rdrama.cc,suspend,,True,True,False
real.dogsex.org,suspend,,True,True,False
rebelbase.site,suspend,,True,True,False
refusal.biz,suspend,,True,True,False
refusal.llc,suspend,,True,True,False
repl.co,suspend,,True,True,False
respublicae.eu,suspend,,True,True,False
rfsl.bz,suspend,,True,True,False
rojogato.com,suspend,,True,True,False
ryona.agency,suspend,,True,True,False
sb.greenboys.club,suspend,,True,True,False
schwartzwelt.xyz,suspend,,True,True,False
scots.network,suspend,,True,True,False
seal.cafe,suspend,,True,True,False
sealion.club,suspend,,True,True,False
searchtodon.social,suspend,,True,True,False
seo.chat,silence,,False,False,False
servernerds.net,suspend,,True,True,False
shelter.moe,suspend,,True,True,False
shigusegubu.club,suspend,,True,True,False
shitpisscum.mooo.com,suspend,,True,True,False
shitpost.cloud,suspend,,True,True,False
shitpost.poridge.club,suspend,,True,True,False
shitposter.club,suspend,,True,True,False
shitposting.army,suspend,,True,True,False
shortstackran.ch,suspend,,True,True,False
shota.house,silence,,False,False,False
shota.social,suspend,,True,True,False
sinblr.com,suspend,,True,True,False
skippers-bin.com,suspend,,True,True,False
sleepy.cafe,suspend,,True,True,False
sleepy.place,silence,,False,False,False
sneak.berlin,suspend,,True,True,False
sneed.social,suspend,,True,True,False
social.076.ne.jp,suspend,,True,True,False
social.ancreport.com,suspend,,True,True,False
social.anoxinon.de,suspend,,True,True,False
social.cbinary.sk,silence,,False,False,False
social.freetalklive.com,suspend,,True,True,False
social.handholding.io,suspend,,True,True,False
social.lovingexpressions.net,suspend,,True,True,False
social.mrhands.horse,suspend,,True,True,False
social.projectsegfau.lt,suspend,,True,True,False
social.quodverum.com,suspend,,True,True,False
social.sphere.com.ai,suspend,,True,True,False
social.teci.world,suspend,,True,True,False
social.urspringer.de,suspend,,True,True,False
social.wideboys.org,suspend,,True,True,False
social.xcess.one,suspend,,True,True,False
societal.co,suspend,,True,True,False
solagg.com,suspend,,True,True,False
speakfree.world,suspend,,True,True,False
sperg.city,suspend,,True,True,False
spinster.xyz,suspend,,True,True,False
springbo.cc,suspend,,True,True,False
squid.kids,suspend,,True,True,False
stars.eroaward.com,silence,,False,False,False
stereophonic.space,suspend,,True,True,False
strelizia.net,suspend,,True,True,False
switter.at,suspend,,True,True,False
symboli.cyou,suspend,,True,True,False
tastingtraffic.net,suspend,,True,True,False
taullo.social,suspend,,True,True,False
tavern.drow.be,suspend,,True,True,False
terrible.place,suspend,,True,True,False
the9thcircle.club,suspend,,True,True,False
thechad.zone,suspend,,True,True,False
thepostearthdestination.com,suspend,,True,True,False
toot.love,silence,,False,False,False
troll.cafe,suspend,,True,True,False
trumpislovetrumpis.life,suspend,,True,True,False
truthsocial.co.in,suspend,,True,True,False
truthsocial.com,suspend,,True,True,False
truthsocialpro.org,suspend,,True,True,False
tsukihi.me,suspend,,True,True,False
tube.kenfm.de,suspend,,True,True,False
tube.querdenken-711.de,suspend,,True,True,False
tweet.pasture.moe,suspend,,True,True,False
tweetbridge.kogasa.de,suspend,,True,True,False
tweets.icu,suspend,,True,True,False
twitiverse.com,suspend,,True,True,False
twitter.1d4.us,suspend,,True,True,False
twitter.activitypub.actor,suspend,,True,True,False
twitter.doesnotexist.club,suspend,,True,True,False
twitter.grants.cafe,suspend,,True,True,False
twitterbridge.jannis.rocks,suspend,,True,True,False
twtr.carnivore.social,suspend,,True,True,False
twtr.disqordia.space,suspend,,True,True,False
twtr.plus,suspend,,True,True,False
twtr.vrij.social,suspend,,True,True,False
twtr.wappie.land,suspend,,True,True,False
unsafe.space,suspend,,True,True,False
urchan.org,suspend,,True,True,False
varishangout.net,suspend,,True,True,False
vuju.com,suspend,,True,True,False
wagesofsinisdeath.com,suspend,,True,True,False
waifu.social,suspend,,True,True,False
waifuappreciation.club,suspend,,True,True,False
waifuism.life,suspend,,True,True,False
wake.st,silence,,False,False,False
weedis.life,suspend,,True,True,False
were.social,suspend,,True,True,False
whinge.town,suspend,,True,True,False
wiki-tube.de,suspend,,True,True,False
wolfgirl.bar,suspend,,True,True,False
woolly.deepthot.org,suspend,,True,True,False
workers.dev,suspend,,True,True,False
worm.pink,suspend,,True,True,False
x0f.org,suspend,,True,True,False
xhais.love,suspend,,True,True,False
xn--p1abe3d.xn--80asehdb,suspend,,True,True,False
xn--rtta-qoa.nu,suspend,,True,True,False
xscape.top,suspend,,True,True,False
xxxtumblr.org,silence,,False,False,False
yggdrasil.social,suspend,,True,True,False
youjo.love,suspend,,True,True,False
zetamu.club,suspend,,True,True,False
zwezo.o-k-i.net,suspend,,True,True,False
zztails.gay,suspend,,True,True,False
zztails.online,suspend,,True,True,False
zztails.wtf,suspend,,True,True,False
