domain,count,percent
decayable.ink,5,83.33333333333334
dece.space,1,16.666666666666664
decept.org,4,66.66666666666666
declin.eu,4,66.66666666666666
deepnexus.link,2,33.33333333333333
deepweb.eu,1,16.666666666666664
definitely-not-archivefedifor.fun,2,33.33333333333333
degenerates.fail,1,16.666666666666664
degooglization.icu,1,16.666666666666664
dekameta.com,1,16.666666666666664
dekeyser.au,1,16.666666666666664
dembased.xyz,3,50.0
democracy.town,1,16.666666666666664
denden.world,1,16.666666666666664
deno.dev,1,16.666666666666664
depressed.bar,1,16.666666666666664
derveni.org,1,16.666666666666664
desu.social,1,16.666666666666664
desubposter.club,1,16.666666666666664
desupost.soy,3,50.0
desuposter.club,2,33.33333333333333
det.social,1,16.666666666666664
detroitriotcity.com,6,100.0
dev-wiki.de,3,50.0
dev.civiq.social,1,16.666666666666664
develop.gab.com,2,33.33333333333333
devin.masto.host,1,16.666666666666664
devouredbyverm.in,1,16.666666666666664
devs.live,3,50.0
diamondelizaa.com,2,33.33333333333333
diarbagus.id,1,16.666666666666664
diaspodon.fr,1,16.666666666666664
diaspsocial.com,1,16.666666666666664
dickkickextremist.xyz,4,66.66666666666666
digitalmarketer.social,2,33.33333333333333
digitalsuccess.dev,1,16.666666666666664
dingdash.com,5,83.33333333333334
dirtkids.social,1,16.666666666666664
dirtyhobby.xyz,3,50.0
disarray.nof.st,1,16.666666666666664
discussion.studio,1,16.666666666666664
disqordia.space,4,66.66666666666666
disroot.org,1,16.666666666666664
dissident.business,4,66.66666666666666
distrotoot.com,1,16.666666666666664
dixies.land,4,66.66666666666666
djitter.com,1,16.666666666666664
djsumdog.com,5,83.33333333333334
dlf.social,2,33.33333333333333
dline.xyz,2,33.33333333333333
dmgd.monster,3,50.0
dobbs.town,3,50.0
doctors4covidethics.org,2,33.33333333333333
doesnm.cc,1,16.666666666666664
doesnotexist.club,2,33.33333333333333
doesnt.undo.it,1,16.666666666666664
dogeposting.social,1,16.666666666666664
dogsex.org,3,50.0
doingyourmom.club,1,16.666666666666664
don.bitma.st,1,16.666666666666664
donotban.com,2,33.33333333333333
donteatanimals.org,1,16.666666666666664
dotnet00.dev,3,50.0
dotsod.com,1,16.666666666666664
dox.land,1,16.666666666666664
dragon.style,1,16.666666666666664
dragonborn.app,1,16.666666666666664
dragoncave.dev,2,33.33333333333333
dragonpsi.xyz,3,50.0
draine.rs,1,16.666666666666664
dramatica.online,1,16.666666666666664
drastical.tech,1,16.666666666666664
drcassone.social,1,16.666666666666664
dreamgate4u.de,1,16.666666666666664
dresden.network,1,16.666666666666664
drinkingatmy.computer,1,16.666666666666664
driveby.cool,1,16.666666666666664
drow.be,3,50.0
drunkposter.club,2,33.33333333333333
dskofgrn.xyz,1,16.666666666666664
dsocialize.net,2,33.33333333333333
dtzbts.xyz,3,50.0
duckdns.org,3,50.0
duckfriend.com,1,16.666666666666664
due.ren,1,16.666666666666664
durst.world,2,33.33333333333333
duwa.ng,1,16.666666666666664
dym.sh,1,16.666666666666664
dynu.net,1,16.666666666666664
dystopian.space,1,16.666666666666664
e3t.cc,1,16.666666666666664
eatthebugs.social,6,100.0
ebin.club,3,50.0
ebin.zone,1,16.666666666666664
echelon.pl,2,33.33333333333333
ediot.social,1,16.666666666666664
eeeeeeeee.eu,4,66.66666666666666
eepygirls.tech,2,33.33333333333333
egirls.gay,1,16.666666666666664
eientei.org,6,100.0
eightpoint.app,4,66.66666666666666
eipystyilman.beer,1,16.666666666666664
el-spot.xyz,1,16.666666666666664
elekk.xyz,3,50.0
elementality.org,3,50.0
elestio.app,1,16.666666666666664
elfenban.de,1,16.666666666666664
elonsucks.org,3,50.0
elouworld.org,1,16.666666666666664
elves.forsale,1,16.666666666666664
emacs.ch,4,66.66666666666666
emacsen.net,1,16.666666666666664
embracing.space,1,16.666666666666664
emeraldsocial.org,1,16.666666666666664
emmadorable.com,1,16.666666666666664
encipher.in,1,16.666666666666664
endtimebelievers.com,5,83.33333333333334
enes.lv,3,50.0
enigmatic.observer,1,16.666666666666664
enj0y.net,1,16.666666666666664
enjoyer.network,1,16.666666666666664
enovale.com,1,16.666666666666664
entire.vc,1,16.666666666666664
epenguin.com,3,50.0
epic.meme.moe,1,16.666666666666664
epsilon.social,5,83.33333333333334
equel.social,3,50.0
eroaward.com,1,16.666666666666664
eskimo.com,2,33.33333333333333
