#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
instinctd.com,suspend,false,false,birdsitelive/bot,false
leonardwong.dev,suspend,false,false,birdsitelive/bot,false
mast.socialspill.com,suspend,false,false,birdsitelive/bot,false
mastodon.socialspill.com,suspend,false,false,birdsitelive/bot,false
news.twtr.plus,suspend,false,false,birdsitelive/bot,false
optiplex.wallaby-bass.ts.net,suspend,false,false,birdsitelive/bot,false
polaris.bonespr.it,suspend,false,false,birdsitelive/bot,false
politbird.twexodus.top,suspend,false,false,birdsitelive/bot,false
relay.scottsmall.org,suspend,false,false,birdsitelive/bot,false
socialloods.nl,suspend,false,false,birdsitelive/bot,false
sovran.social,suspend,false,false,birdsitelive/bot,false
t.beergeek.social,suspend,false,false,birdsitelive/bot,false
t.l3r.me,suspend,false,false,birdsitelive/bot,false
test.misskey.cf,suspend,false,false,birdsitelive/bot,false
tinybirdsite.com,suspend,false,false,birdsitelive/bot,false
tweetbridge.kogasa.de,suspend,false,false,birdsitelive/bot,false
tweetbridge.mollys.social,suspend,false,false,birdsitelive/bot,false
tweetrans.ff15.eu,suspend,false,false,birdsitelive/bot,false
tweets.icu,suspend,false,false,birdsitelive/bot,false
twit.cryolog.in,suspend,false,false,birdsitelive/bot,false
twitbridge.click,suspend,false,false,birdsitelive/bot,false
twitter.829.hu,suspend,false,false,birdsitelive/bot,false
twitter.cryobyte.net,suspend,false,false,birdsitelive/bot,false
twitter.dev.holtwick.de,suspend,false,false,birdsitelive/bot,false
twitter.doesnotexist.club,suspend,false,false,birdsitelive/bot,false
twitter.felixmueller.social,suspend,false,false,birdsitelive/bot,false
twitter.grants.cafe,suspend,false,false,birdsitelive/bot,false
twitter.kfem.cat,suspend,false,false,birdsitelive/bot,false
twitter.moxr.de,suspend,false,false,birdsitelive/bot,false
twitter.piriklub.eu,suspend,false,false,birdsitelive/bot,false
twitter.savvas.cloud,suspend,false,false,birdsitelive/bot,false
twitter.toots.ro,suspend,false,false,birdsitelive/bot,false
twitter.tresor.eyhoff.de,suspend,false,false,birdsitelive/bot,false
twitter.ukd.social,suspend,false,false,birdsitelive/bot,false
twitterbridge.mastodon.maki0419.com,suspend,false,false,birdsitelive/bot,false
twitterfeed.furrypaws.cc,suspend,false,false,birdsitelive/bot,false
twittergateway.10247.berlin,suspend,false,false,birdsitelive/bot,false
twtr.3q3.de,suspend,false,false,birdsitelive/bot,false
twtr.astra.lol,suspend,false,false,birdsitelive/bot,false
twtr.carnivore.social,suspend,false,false,birdsitelive/bot,false
twtr.ingeechat.party,suspend,false,false,birdsitelive/bot,false
twtr.plus,suspend,false,false,birdsitelive/bot,false
twtr.vrij.social,suspend,false,false,birdsitelive/bot,false
twtrbridge.de,suspend,false,false,birdsitelive/bot,false
vtweet.live,suspend,false,false,birdsitelive/bot,false
white.fly.dev,suspend,false,false,birdsitelive/bot,false
woof.foxxo.gay,suspend,false,false,birdsitelive/bot,false
zwezo.o-k-i.net,suspend,false,false,birdsitelive/bot,false
t2m.davinkevin.fr,suspend,false,false,birdsitelive/bot,false
birdsite.retiolus.net,suspend,false,false,birdsitelive/bot,false
birdsitelive.opiumpost.org,suspend,false,false,birdsitelive/bot,false
birdmakeup.opiumpost.org,suspend,false,false,birdsitelive/bot,false
bird.neolyum.de,suspend,false,false,birdsitelive/bot,false
b.booots.tech,suspend,false,false,birdsitelive/bot,false
twitter.toots.ro,suspend,false,false,birdsitelive/bot,false
twit.cryolog.in,suspend,false,false,birdsitelive/bot,false
twitter.tresor.eyhoff.de,suspend,false,false,birdsitelive/bot,false
