#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
merovingian.club,suspend,false,false,hate speech,false
min**.**fe,suspend,false,false,inappropriate content,false
minds.com,silence,false,false,hate speech,false
mir***.**ty,suspend,false,false,inappropriate content,false
misskey-forkbomb.cf,suspend,false,false,spam,false
misskey.io,silence,false,false,inappropriate content,false
misskey.shunrin.com,silence,false,false,unmanaged spam,false
momostr.pink,silence,false,false,spam,false
monstergirl.space,suspend,false,false,hate speech,false
mostr.pub,silence,false,false,spam,false
mouse.services,suspend,false,false,harassment,false
mstdn.foxfam.club,silence,false,false,third-party bots,false
mugicha.club,suspend,false,false,hate speech,false
nate*******.org,suspend,false,false,hate speech,false
nateh******.**line,suspend,false,false,hate speech,false
nationalist.social,suspend,false,false,hate speech,false
nazi.social,suspend,false,false,hate speech,false
neck*****.xyz,suspend,false,false,inappropriate content,false
nee****.*op,suspend,false,false,inappropriate content,false
ngrok.io,suspend,false,false,spam,false
nicecrew.digital,suspend,false,false,hate speech,false
nni*.***ce,suspend,false,false,maps,false
noagendasocial.com,silence,false,false,harassment,false
noauthority.social,suspend,false,false,hate speech,false
norwoodzero.net,suspend,false,false,hate speech,false
ns.auction,suspend,false,false,hate speech,false
nya.u*******.moe,suspend,false,false,inappropriate content,false
nyanide.com,suspend,false,false,hate speech,false
ob*.*h,suspend,false,false,inappropriate content,false
oddb****.***ine,suspend,false,false,inappropriate content,false
onion.social,silence,false,false,spam,false
out****.*ip,suspend,false,false,inappropriate content,false
outpoa.st,suspend,false,false,hate speech,false
pac**.us,suspend,false,false,inappropriate content,false
paravielfalt.zone,suspend,false,false,inappropriate content,false
parcero.bond,suspend,false,false,hate speech,false
pawoo.net,suspend,false,false,inappropriate content,false
paypig.org,suspend,false,false,hate speech,false
ped*.****ol,suspend,false,false,maps,false
pett****.art,suspend,false,false,inappropriate content,false
pieville.net,suspend,false,false,harassment,false
pika.moe,silence,false,false,unmanaged spam,false
pisskey.io,suspend,false,false,hate speech,false
pl.s*****.li,suspend,false,false,inappropriate content,false
pl.wy********.art,suspend,false,false,inappropriate content,false
plero**.*****.love,suspend,false,false,inappropriate content,false
plero**.*****.net,suspend,false,false,inappropriate content,false
pleroma.**********he.biz,suspend,false,false,hate speech,false
pleroma.adachi.party,suspend,false,false,hate speech,false
pleroma.fun,suspend,false,false,hate speech,false
pleroma.kitsunemimi.club,suspend,false,false,hate speech,false
pleroma.us,suspend,false,false,hate speech,false
poa.st,suspend,false,false,hate speech,false
poast.tv,suspend,false,false,hate speech,false
pooper.social,suspend,false,false,hate speech,false
poster.place,suspend,false,false,hate speech,false
postin*.*******.rocks,suspend,false,false,hate speech,false
pouque.net,suspend,false,false,hate speech,false
prete*******.biz,suspend,false,false,inappropriate content,false
pupp******.cc,suspend,false,false,inappropriate content,false
rakket.app,suspend,false,false,hate speech,false
rap*.*et,suspend,false,false,inappropriate content,false
rapem***.*****ions,suspend,false,false,inappropriate content,false
rapemeat.express,suspend,false,false,inappropriate content,false
raplst.town,suspend,false,false,harassment,false
rdrama.cc,suspend,false,false,hate speech,false
refusal.biz,suspend,false,false,inappropriate content,false
repl.co,suspend,false,false,spam,false
rot.***es,suspend,false,false,inappropriate content,false
ryona.agency,suspend,false,false,hate speech,false
schwartzwelt.xyz,suspend,false,false,hate speech,false
seal.cafe,suspend,false,false,hate speech,false
sexy****.xyz,suspend,false,false,inappropriate content,false
shitpisscum.mooo.com,suspend,false,false,hate speech,false
shitpost.cloud,suspend,false,false,hate speech,false
shitposte.rs,suspend,false,false,hate speech,false
shitposter.club,silence,false,false,harassment,false
shitposter.world,silence,false,false,harassment,false
shitposting.army,suspend,false,false,hate speech,false
sho**.***se,suspend,false,false,inappropriate content,false
shortstackran.ch,suspend,false,false,hate speech,false
shortstacksran.ch,suspend,false,false,hate speech,false
shot*****.xyz,suspend,false,false,inappropriate content,false
shrimpcam.pw,suspend,false,false,third-party bots,false
shrimpposter.club,suspend,false,false,hate speech,false
sinblr.com,silence,false,false,spam,false
skinheads.social,suspend,false,false,hate speech,false
skipp*******.com,suspend,false,false,inappropriate content,false
sleepy.cafe,suspend,false,false,hate speech,false
sneed.social,suspend,false,false,hate speech,false
social.********y.net,suspend,false,false,inappropriate content,false
social.lovingexpressions.net,suspend,false,false,hate speech,false
social.onlinesession.app,silence,false,false,unmanaged spam,false
social.quodverum.com,silence,false,false,misinformation and conspiracy theories,false
solagg.com,suspend,false,false,spam,false
sovran.social,suspend,false,false,third-party bots,false
spinster.xyz,suspend,false,false,transphobia,false
strelizia.net,suspend,false,false,hate speech,false
supernets.social,suspend,false,false,hate speech,false
switter.at,suspend,false,false,preparing for announced shutdown,false
t.l3r.me,suspend,false,false,third-party bots,false
tastingtraffic.net,suspend,false,false,spam,false
the.usualsuspects.lol,suspend,false,false,hate speech,false
theblab.org,suspend,false,false,hate speech,false
tickler.cc,silence,false,false,unmanaged spam,false
too****.*tf,suspend,false,false,inappropriate content,false
too****.*un,suspend,false,false,inappropriate content,false
toot.love,silence,false,false,harassment,false
trab****.com,suspend,false,false,hate speech,false
truthsocialpro.org,suspend,false,false,,false
tum**.**wn,suspend,false,false,inappropriate content,false
tweet.pasture.moe,suspend,false,false,third-party bots,false
tweetbridge.kogasa.de,suspend,false,false,third-party bots,false
tweets.icu,suspend,false,false,third-party bots,false
twitiverse.com,suspend,false,false,third-party bots,false
twitter-bridge.cryobyte.net,suspend,false,false,third-party bots,false
twitter.1d4.us,suspend,false,false,third-party bots,false
twitter.activitypub.actor,suspend,false,false,third-party bots,false
twitter.cryobyte.net,suspend,false,false,third-party bots,false
twitter.doesnotexist.club,suspend,false,false,third-party bots,false
twitter.grants.cafe,suspend,false,false,third-party bots,false
twitter.piriklub.eu,suspend,false,false,third-party bots,false
twitterbridge.jannis.rocks,suspend,false,false,third-party bots,false
twtr.carnivore.social,suspend,false,false,third-party bots,false
twtr.ingeechat.party,suspend,false,false,third-party bots,false
twtr.plus,suspend,false,false,third-party bots,false
twtr.vrij.social,suspend,false,false,third-party bots,false
twtr.wappie.land,suspend,false,false,third-party bots,false
twtrbridge.de,suspend,false,false,third-party bots,false
twttr.yukineko.me,suspend,false,false,third-party bots,false
urchan.org,suspend,false,false,hate speech,false
urweibo.com,silence,false,false,unmanaged spam,false
usasa.ky,silence,false,false,unmanaged spam,false
varis*******.net,suspend,false,false,inappropriate content,false
wagesofsinisdeath.com,suspend,false,false,harassment,false
waifu.social,suspend,false,false,harassment,false
waifuappreciation.club,suspend,false,false,harassment,false
weedis.life,suspend,false,false,spam,false
whit******.dog,suspend,false,false,inappropriate content,false
wolfgirl.bar,suspend,false,false,hate speech,false
workers.dev,suspend,false,false,botnet,false
x.good.news,suspend,false,false,third-party bots,false
yes***.*et,suspend,false,false,inappropriate content,false
yggdrasil.social,suspend,false,false,hate speech,false
you**.**ve,suspend,false,false,inappropriate content,false
youj*.*****ver,suspend,false,false,inappropriate content,false
yum***.cc,suspend,false,false,inappropriate content,false
zet***.**ub,suspend,false,false,inappropriate content,false
zztails.gay,suspend,false,false,hate speech,false
